"","iso_ref","gene_ref","isoform_id","gene_id","gene_name","condition_1","condition_2","IF1","IF2","dIF","isoform_switch_q_value","Rank"
"132","isoComp_00018344","geneComp_00005073","ENSMUST00000079681","Cyb5d2","Cyb5d2","S7","U2",0.242,0.353,0.11,0.0152421485867934,132
"133","isoComp_00086317","geneComp_00028237","ENSMUST00000029419","Veph1","Veph1","S7","U2",0.693,0.831,0.137,0.0152421485867934,133
"134","isoComp_00050754","geneComp_00019696","ENSMUST00000123498","Mipol1","Mipol1","S7","U2",0.698,0.832,0.134,0.0163323604057717,134
"135","isoComp_00014147","geneComp_00004109","ENSMUST00000081064","Cenpi","Cenpi","S7","U2",0.58,0.428,-0.152,0.0166548463980029,135
"136","isoComp_00051744","geneComp_00019962","ENSMUST00000135948","Mroh2a","Mroh2a","S7","U2",0.551,0.743,0.192,0.0185265147870491,136
"137","isoComp_00000101","geneComp_00000038","ENSMUST00000173070","1110038B12Rik","1110038B12Rik","S7","U2",0.488,0.368,-0.12,0.0185849848285303,137
"138","isoComp_00060219","geneComp_00022216","ENSMUST00000026617","Phkg1","Phkg1","S7","U2",0.489,0.692,0.203,0.0204654572452518,138
"139","isoComp_00057651","geneComp_00021635","ENSMUST00000074352","Osbpl1a","Osbpl1a","S7","U2",0.438,0.315,-0.123,0.0219421096724021,139
"140","isoComp_00088347","geneComp_00028824","ENSMUST00000091037","Zbtb34","Zbtb34","S7","U2",0.473,0.759,0.286,0.0224686638547734,140
"141","isoComp_00069914","geneComp_00024521","ENSMUST00000035645","Rusc2","Rusc2","S7","U2",0.315,0.463,0.148,0.0246596430197848,141
"142","isoComp_00089045","geneComp_00028968","ENSMUST00000226522","Zfp219","Zfp219","S7","U2",0.287,0.395,0.108,0.0253365816789333,142
"143","isoComp_00062385","geneComp_00022676","ENSMUST00000081564","Postn","Postn","S7","U2",0.011,0.161,0.149,0.0253875838583198,143
"144","isoComp_00082013","geneComp_00027325","ENSMUST00000189355","Tnnt2","Tnnt2","S7","U2",0.012,0.179,0.167,0.0258990689291972,144
"145","isoComp_00082387","geneComp_00027393","ENSMUST00000020552","Tpgs1","Tpgs1","S7","U2",0.383,0.282,-0.101,0.028057177608527,145
"146","isoComp_00040129","geneComp_00017028","ENSMUST00000021345","Gtf2a1","Gtf2a1","S7","U2",0.73,0.887,0.158,0.0284885828064068,146
"147","isoComp_00028616","geneComp_00007688","ENSMUST00000114513","Gls","Gls","S7","U2",0.25,0.149,-0.101,0.0285563677043739,147
"148","isoComp_00043897","geneComp_00018049","ENSMUST00000121442","Iqcc","Iqcc","S7","U2",0.246,0.376,0.13,0.0288477726634628,148
"149","isoComp_00051579","geneComp_00019921","ENSMUST00000036225","Mpp6","Mpp6","S7","U2",0.375,0.234,-0.141,0.0288477726634628,149
"150","isoComp_00049121","geneComp_00019375","ENSMUST00000040167","Mat2b","Mat2b","S7","U2",0.527,0.427,-0.101,0.0293343980607735,150
"151","isoComp_00069268","geneComp_00024354","ENSMUST00000136592","Rps23rg1","Rps23rg1","S7","U2",0.303,0.421,0.118,0.0301943894181849,151
"152","isoComp_00039185","geneComp_00016749","ENSMUST00000051094","Golga7","Golga7","S7","U2",0.747,0.646,-0.101,0.0313819997070776,152
"153","isoComp_00008909","geneComp_00002727","ENSMUST00000045011","Atrip","Atrip","S7","U2",0.402,0.291,-0.111,0.031502217752187,153
"154","isoComp_00086402","geneComp_00028258","ENSMUST00000138979","Vma21","Vma21","S7","U2",0.657,0.474,-0.183,0.0317256073020946,154
"155","isoComp_00033595","geneComp_00011967","ENSMUST00000208046","Gm32031","Gm32031","S7","U2",0.652,0.791,0.138,0.0322833961725801,155
"156","isoComp_00010169","geneComp_00003090","ENSMUST00000003544","Bicd1","Bicd1","S7","U2",0.022,0.234,0.212,0.0331493441293326,156
"157","isoComp_00083658","geneComp_00027681","ENSMUST00000026993","Tspan17","Tspan17","S7","U2",0.658,0.517,-0.141,0.034055426545254,157
"158","isoComp_00059224","geneComp_00022002","ENSMUST00000097950","Pde4b","Pde4b","S7","U2",0.424,0.557,0.133,0.0351109564119608,158
"159","isoComp_00040154","geneComp_00017033","ENSMUST00000167264","Gtf2e2","Gtf2e2","S7","U2",0.324,0.426,0.102,0.0354297923127826,159
"160","isoComp_00039186","geneComp_00016749","ENSMUST00000121783","Golga7","Golga7","S7","U2",0.234,0.339,0.105,0.0370999620269216,160
"161","isoComp_00090823","geneComp_00029409","ENSMUST00000106157","Zranb1","Zranb1","S7","U2",0.65,0.797,0.146,0.037949235563579,161
"162","isoComp_00000734","geneComp_00000344","ENSMUST00000142099","1810062O18Rik","1810062O18Rik","S7","U2",0.097,0.261,0.164,0.0403129232072752,162
"163","isoComp_00086400","geneComp_00028258","ENSMUST00000114576","Vma21","Vma21","S7","U2",0.309,0.484,0.175,0.0403817863590855,163
"164","isoComp_00060221","geneComp_00022216","ENSMUST00000200832","Phkg1","Phkg1","S7","U2",0.503,0.296,-0.207,0.0413031261799032,164
"165","isoComp_00086191","geneComp_00028202","ENSMUST00000153662","Vangl2","Vangl2","S7","U2",0.191,0.299,0.108,0.0467811231409156,165
"166","isoComp_00074056","geneComp_00025509","ENSMUST00000068326","Slc8b1","Slc8b1","S7","U2",0.678,0.778,0.1,0.0479533258104848,166
